#ell ratio std
1.018234e+02 9.902334e-01 2.918365e-02
1.440000e+02 9.852910e-01 3.952218e-02
1.609969e+02 9.818873e-01 2.939829e-02
2.187537e+02 9.740301e-01 3.130805e-02
2.843995e+02 9.664346e-01 3.574641e-02
3.593011e+02 9.590526e-01 4.088240e-02
4.461363e+02 9.519202e-01 4.469186e-02
5.627012e+02 9.412034e-01 4.472231e-02
7.130505e+02 9.262765e-01 4.789402e-02
8.923582e+02 9.073547e-01 4.791596e-02
1.056544e+03 8.904659e-01 4.931976e-02
1.192623e+03 8.783002e-01 5.040365e-02
1.335852e+03 8.668305e-01 5.052298e-02
1.497288e+03 8.552238e-01 4.915833e-02
1.681971e+03 8.442089e-01 4.789247e-02
1.888175e+03 8.334231e-01 4.738292e-02
2.119545e+03 8.241424e-01 4.683791e-02
2.377310e+03 8.162231e-01 4.661643e-02
2.668762e+03 8.106118e-01 4.422116e-02
2.993712e+03 8.065472e-01 4.327478e-02
3.359343e+03 8.049226e-01 4.182367e-02
3.770991e+03 8.051318e-01 3.836449e-02
4.229178e+03 8.068261e-01 3.718390e-02
4.744167e+03 8.098386e-01 3.725275e-02
5.324426e+03 8.144576e-01 3.622772e-02
5.972264e+03 8.209591e-01 3.503073e-02
6.700116e+03 8.295018e-01 3.468367e-02
7.519867e+03 8.385472e-01 3.550211e-02
8.436568e+03 8.502794e-01 3.383221e-02
9.465563e+03 8.643181e-01 3.377561e-02
