#ell ratio std
1.018234e+02 9.998259e-01 3.737848e-03
1.440000e+02 9.997861e-01 5.718308e-03
1.609969e+02 9.996641e-01 3.187804e-03
2.187537e+02 9.995366e-01 2.858013e-03
2.843995e+02 9.992484e-01 2.982991e-03
3.593011e+02 9.989055e-01 2.948563e-03
4.461363e+02 9.984140e-01 3.125424e-03
5.627012e+02 9.977307e-01 2.940969e-03
7.130505e+02 9.966496e-01 3.099260e-03
8.923582e+02 9.951746e-01 3.101006e-03
1.056544e+03 9.935429e-01 4.053767e-03
1.192623e+03 9.921347e-01 4.068956e-03
1.335852e+03 9.905710e-01 4.168053e-03
1.497288e+03 9.886607e-01 4.160118e-03
1.681971e+03 9.863883e-01 4.066161e-03
1.888175e+03 9.836960e-01 4.048120e-03
2.119545e+03 9.808649e-01 4.052970e-03
2.377310e+03 9.773873e-01 3.946709e-03
2.668762e+03 9.730655e-01 3.844828e-03
2.993712e+03 9.684423e-01 3.827747e-03
3.359343e+03 9.630296e-01 3.628266e-03
3.770991e+03 9.568767e-01 3.547774e-03
4.229178e+03 9.497066e-01 3.360601e-03
4.744167e+03 9.422018e-01 3.288648e-03
5.324426e+03 9.340982e-01 3.112367e-03
5.972264e+03 9.254566e-01 2.921846e-03
6.700116e+03 9.164854e-01 2.755799e-03
7.519867e+03 9.073815e-01 2.646730e-03
8.436568e+03 8.983825e-01 2.501699e-03
9.465563e+03 8.897922e-01 2.333343e-03
