#ell ratio std
1.018234e+02 9.998163e-01 4.289935e-03
1.440000e+02 9.997035e-01 6.479942e-03
1.609969e+02 9.995702e-01 3.645488e-03
2.187537e+02 9.993298e-01 3.413143e-03
2.843995e+02 9.989271e-01 3.705621e-03
3.593011e+02 9.984710e-01 3.612814e-03
4.461363e+02 9.977970e-01 3.873578e-03
5.627012e+02 9.968918e-01 3.690682e-03
7.130505e+02 9.954702e-01 3.882048e-03
8.923582e+02 9.936314e-01 3.879485e-03
1.056544e+03 9.915909e-01 4.938937e-03
1.192623e+03 9.898789e-01 4.935241e-03
1.335852e+03 9.880051e-01 5.050330e-03
1.497288e+03 9.857774e-01 5.056257e-03
1.681971e+03 9.831258e-01 4.916476e-03
1.888175e+03 9.799609e-01 4.898053e-03
2.119545e+03 9.765984e-01 4.911958e-03
2.377310e+03 9.725029e-01 4.776101e-03
2.668762e+03 9.673567e-01 4.665056e-03
2.993712e+03 9.618905e-01 4.636764e-03
3.359343e+03 9.555213e-01 4.418222e-03
3.770991e+03 9.483149e-01 4.282997e-03
4.229178e+03 9.400195e-01 4.056696e-03
4.744167e+03 9.313729e-01 3.949705e-03
5.324426e+03 9.220748e-01 3.778999e-03
5.972264e+03 9.122797e-01 3.513867e-03
6.700116e+03 9.022442e-01 3.321585e-03
7.519867e+03 8.922576e-01 3.174397e-03
8.436568e+03 8.823866e-01 2.985206e-03
9.465563e+03 8.730294e-01 2.770724e-03
