#ell ratio std
1.018234e+02 9.989168e-01 1.042475e-02
1.440000e+02 9.980412e-01 1.497807e-02
1.609969e+02 9.975145e-01 9.681802e-03
2.187537e+02 9.958047e-01 1.042197e-02
2.843995e+02 9.940959e-01 1.123314e-02
3.593011e+02 9.921075e-01 1.191296e-02
4.461363e+02 9.902906e-01 1.279527e-02
5.627012e+02 9.873830e-01 1.282788e-02
7.130505e+02 9.832893e-01 1.359255e-02
8.923582e+02 9.776333e-01 1.379887e-02
1.056544e+03 9.719593e-01 1.543274e-02
1.192623e+03 9.670742e-01 1.564079e-02
1.335852e+03 9.616289e-01 1.581344e-02
1.497288e+03 9.554186e-01 1.602394e-02
1.681971e+03 9.483803e-01 1.557888e-02
1.888175e+03 9.394595e-01 1.527542e-02
2.119545e+03 9.297640e-01 1.505469e-02
2.377310e+03 9.191689e-01 1.474439e-02
2.668762e+03 9.068587e-01 1.404494e-02
2.993712e+03 8.944203e-01 1.369541e-02
3.359343e+03 8.815415e-01 1.289744e-02
3.770991e+03 8.684559e-01 1.223744e-02
4.229178e+03 8.561408e-01 1.182938e-02
4.744167e+03 8.447735e-01 1.167602e-02
5.324426e+03 8.344811e-01 1.109308e-02
5.972264e+03 8.257686e-01 1.045782e-02
6.700116e+03 8.196359e-01 1.027012e-02
7.519867e+03 8.146713e-01 9.838637e-03
8.436568e+03 8.113264e-01 9.053080e-03
9.465563e+03 8.102383e-01 8.901969e-03
