#ell ratio std
1.018234e+02 9.831000e-01 3.670172e-02
1.440000e+02 9.760263e-01 4.973596e-02
1.609969e+02 9.704678e-01 3.840495e-02
2.187537e+02 9.590549e-01 4.147336e-02
2.843995e+02 9.479698e-01 4.740122e-02
3.593011e+02 9.373747e-01 5.432382e-02
4.461363e+02 9.273759e-01 5.829002e-02
5.627012e+02 9.137683e-01 5.827992e-02
7.130505e+02 8.960623e-01 6.033886e-02
8.923582e+02 8.759300e-01 5.950292e-02
1.056544e+03 8.594623e-01 5.986715e-02
1.192623e+03 8.486904e-01 6.040905e-02
1.335852e+03 8.396938e-01 6.045569e-02
1.497288e+03 8.301807e-01 5.826584e-02
1.681971e+03 8.216270e-01 5.686058e-02
1.888175e+03 8.135271e-01 5.592080e-02
2.119545e+03 8.069208e-01 5.498239e-02
2.377310e+03 8.019448e-01 5.559029e-02
2.668762e+03 7.996947e-01 5.382221e-02
2.993712e+03 7.989238e-01 5.209330e-02
3.359343e+03 8.010381e-01 4.971028e-02
3.770991e+03 8.060459e-01 4.656920e-02
4.229178e+03 8.119843e-01 4.586938e-02
4.744167e+03 8.188109e-01 4.500630e-02
5.324426e+03 8.282124e-01 4.485396e-02
5.972264e+03 8.390904e-01 4.357415e-02
6.700116e+03 8.525191e-01 4.258966e-02
7.519867e+03 8.656839e-01 4.400784e-02
8.436568e+03 8.800909e-01 4.460700e-02
9.465563e+03 8.958311e-01 4.743732e-02
