#ell ratio std
1.018234e+02 9.998173e-01 3.908987e-03
1.440000e+02 9.997843e-01 6.658635e-03
1.609969e+02 9.996322e-01 3.330163e-03
2.187537e+02 9.994621e-01 3.093707e-03
2.843995e+02 9.991268e-01 3.253793e-03
3.593011e+02 9.987500e-01 3.190085e-03
4.461363e+02 9.981771e-01 3.401189e-03
5.627012e+02 9.974145e-01 3.220304e-03
7.130505e+02 9.962028e-01 3.393122e-03
8.923582e+02 9.945871e-01 3.396614e-03
1.056544e+03 9.927882e-01 4.390590e-03
1.192623e+03 9.912639e-01 4.399596e-03
1.335852e+03 9.895684e-01 4.505061e-03
1.497288e+03 9.875359e-01 4.494975e-03
1.681971e+03 9.851150e-01 4.388086e-03
1.888175e+03 9.822362e-01 4.367055e-03
2.119545e+03 9.792042e-01 4.378070e-03
2.377310e+03 9.754902e-01 4.258558e-03
2.668762e+03 9.708542e-01 4.151836e-03
2.993712e+03 9.659094e-01 4.129187e-03
3.359343e+03 9.601360e-01 3.919768e-03
3.770991e+03 9.535818e-01 3.819225e-03
4.229178e+03 9.459703e-01 3.619136e-03
4.744167e+03 9.380173e-01 3.532556e-03
5.324426e+03 9.294472e-01 3.356298e-03
5.972264e+03 9.203413e-01 3.137769e-03
6.700116e+03 9.109166e-01 2.959466e-03
7.519867e+03 9.014277e-01 2.837338e-03
8.436568e+03 8.920537e-01 2.675920e-03
9.465563e+03 8.830983e-01 2.489037e-03
