#ell ratio std
1.018234e+02 9.998153e-01 3.988812e-03
1.440000e+02 9.997694e-01 6.564603e-03
1.609969e+02 9.996195e-01 3.392795e-03
2.187537e+02 9.994329e-01 3.171215e-03
2.843995e+02 9.990807e-01 3.353309e-03
3.593011e+02 9.986894e-01 3.283673e-03
4.461363e+02 9.980891e-01 3.505150e-03
5.627012e+02 9.972959e-01 3.326263e-03
7.130505e+02 9.960349e-01 3.503803e-03
8.923582e+02 9.943687e-01 3.506147e-03
1.056544e+03 9.925111e-01 4.514555e-03
1.192623e+03 9.909434e-01 4.521937e-03
1.335852e+03 9.892042e-01 4.630366e-03
1.497288e+03 9.871284e-01 4.621973e-03
1.681971e+03 9.846517e-01 4.508111e-03
1.888175e+03 9.817071e-01 4.487392e-03
2.119545e+03 9.786001e-01 4.499938e-03
2.377310e+03 9.747985e-01 4.375258e-03
2.668762e+03 9.700459e-01 4.267873e-03
2.993712e+03 9.649832e-01 4.243440e-03
3.359343e+03 9.590735e-01 4.031681e-03
3.770991e+03 9.523702e-01 3.922799e-03
4.229178e+03 9.445993e-01 3.717140e-03
4.744167e+03 9.364836e-01 3.625843e-03
5.324426e+03 9.277441e-01 3.450828e-03
5.972264e+03 9.184727e-01 3.221278e-03
6.700116e+03 9.088939e-01 3.037953e-03
7.519867e+03 8.992789e-01 2.911610e-03
8.436568e+03 8.897780e-01 2.743684e-03
9.465563e+03 8.807085e-01 2.550457e-03
