#ell ratio std
1.018234e+02 9.694769e-01 5.074764e-02
1.440000e+02 9.578773e-01 6.781768e-02
1.609969e+02 9.480709e-01 5.330054e-02
2.187537e+02 9.307957e-01 5.713603e-02
2.843995e+02 9.134492e-01 6.399578e-02
3.593011e+02 8.979883e-01 7.164524e-02
4.461363e+02 8.842849e-01 7.639064e-02
5.627012e+02 8.698173e-01 7.599301e-02
7.130505e+02 8.537454e-01 7.636231e-02
8.923582e+02 8.388268e-01 7.499007e-02
1.056544e+03 8.286057e-01 7.445436e-02
1.192623e+03 8.231405e-01 7.387067e-02
1.335852e+03 8.190492e-01 7.408242e-02
1.497288e+03 8.144923e-01 7.066118e-02
1.681971e+03 8.106676e-01 7.045808e-02
1.888175e+03 8.066150e-01 6.858294e-02
2.119545e+03 8.028506e-01 6.633948e-02
2.377310e+03 8.003012e-01 6.619601e-02
2.668762e+03 7.993873e-01 6.597303e-02
2.993712e+03 7.994259e-01 6.321704e-02
3.359343e+03 8.034760e-01 6.136910e-02
3.770991e+03 8.123328e-01 5.928085e-02
4.229178e+03 8.222357e-01 5.910055e-02
4.744167e+03 8.326291e-01 5.848405e-02
5.324426e+03 8.468770e-01 5.958371e-02
5.972264e+03 8.650567e-01 6.110110e-02
6.700116e+03 8.869887e-01 6.193702e-02
7.519867e+03 9.082590e-01 6.493541e-02
8.436568e+03 9.307577e-01 7.536964e-02
9.465563e+03 9.493994e-01 9.307903e-02
