#ell ratio std
1.018234e+02 9.993488e-01 7.645887e-03
1.440000e+02 9.987601e-01 1.120660e-02
1.609969e+02 9.985338e-01 7.306065e-03
2.187537e+02 9.974472e-01 7.286209e-03
2.843995e+02 9.962370e-01 8.158806e-03
3.593011e+02 9.948903e-01 8.416222e-03
4.461363e+02 9.935542e-01 9.238686e-03
5.627012e+02 9.913120e-01 9.039689e-03
7.130505e+02 9.882930e-01 9.517806e-03
8.923582e+02 9.842513e-01 9.549729e-03
1.056544e+03 9.802489e-01 1.094948e-02
1.192623e+03 9.767808e-01 1.100217e-02
1.335852e+03 9.729672e-01 1.111521e-02
1.497288e+03 9.685970e-01 1.134619e-02
1.681971e+03 9.635216e-01 1.100574e-02
1.888175e+03 9.570521e-01 1.090672e-02
2.119545e+03 9.499613e-01 1.080467e-02
2.377310e+03 9.416842e-01 1.056447e-02
2.668762e+03 9.314204e-01 1.025588e-02
2.993712e+03 9.209975e-01 1.009417e-02
3.359343e+03 9.094517e-01 9.637781e-03
3.770991e+03 8.971168e-01 9.103543e-03
4.229178e+03 8.845239e-01 8.823367e-03
4.744167e+03 8.720878e-01 8.671520e-03
5.324426e+03 8.599988e-01 8.301100e-03
5.972264e+03 8.489743e-01 7.833157e-03
6.700116e+03 8.396204e-01 7.621986e-03
7.519867e+03 8.313894e-01 7.314338e-03
8.436568e+03 8.244914e-01 6.671482e-03
9.465563e+03 8.194039e-01 6.384173e-03
