#ell ratio std
1.018234e+02 9.431999e-01 6.708515e-02
1.440000e+02 9.232183e-01 8.038966e-02
1.609969e+02 9.072175e-01 6.895887e-02
2.187537e+02 8.797080e-01 7.006350e-02
2.843995e+02 8.516304e-01 7.315560e-02
3.593011e+02 8.278697e-01 7.664599e-02
4.461363e+02 8.114572e-01 8.048133e-02
5.627012e+02 8.008014e-01 8.174149e-02
7.130505e+02 7.961004e-01 8.622645e-02
8.923582e+02 7.987593e-01 9.072900e-02
1.056544e+03 8.077500e-01 9.658484e-02
1.192623e+03 8.169234e-01 9.927124e-02
1.335852e+03 8.267515e-01 1.033874e-01
1.497288e+03 8.372143e-01 1.046553e-01
1.681971e+03 8.513631e-01 1.099578e-01
1.888175e+03 8.683313e-01 1.113945e-01
2.119545e+03 8.865231e-01 1.117508e-01
2.377310e+03 9.072835e-01 1.174737e-01
2.668762e+03 9.295886e-01 1.323266e-01
2.993712e+03 9.500554e-01 1.577799e-01
3.359343e+03 9.609025e-01 1.863978e-01
3.770991e+03 9.432607e-01 1.568687e-01
4.229178e+03 9.131951e-01 1.240000e-01
4.744167e+03 8.793955e-01 1.077066e-01
5.324426e+03 8.566162e-01 1.038901e-01
5.972264e+03 8.700970e-01 1.457043e-01
6.700116e+03 8.931053e-01 1.841962e-01
7.519867e+03 8.601363e-01 1.320247e-01
8.436568e+03 8.846617e-01 1.255036e-01
9.465563e+03 9.146775e-01 1.617818e-01
