#ell ratio std
1.018234e+02 9.998231e-01 4.853382e-03
1.440000e+02 9.996258e-01 7.092304e-03
1.609969e+02 9.994606e-01 4.162269e-03
2.187537e+02 9.991530e-01 3.858541e-03
2.843995e+02 9.986536e-01 4.255784e-03
3.593011e+02 9.980760e-01 4.178064e-03
4.461363e+02 9.973057e-01 4.537780e-03
5.627012e+02 9.962091e-01 4.321448e-03
7.130505e+02 9.945513e-01 4.531672e-03
8.923582e+02 9.924079e-01 4.528306e-03
1.056544e+03 9.900996e-01 5.652231e-03
1.192623e+03 9.881825e-01 5.640218e-03
1.335852e+03 9.860750e-01 5.757494e-03
1.497288e+03 9.835908e-01 5.792641e-03
1.681971e+03 9.806832e-01 5.616471e-03
1.888175e+03 9.771533e-01 5.590566e-03
2.119545e+03 9.733456e-01 5.612528e-03
2.377310e+03 9.687585e-01 5.467990e-03
2.668762e+03 9.629458e-01 5.343202e-03
2.993712e+03 9.567999e-01 5.311007e-03
3.359343e+03 9.496725e-01 5.083961e-03
3.770991e+03 9.416440e-01 4.906603e-03
4.229178e+03 9.325158e-01 4.652096e-03
4.744167e+03 9.230440e-01 4.516773e-03
5.324426e+03 9.128956e-01 4.351113e-03
5.972264e+03 9.023581e-01 4.031867e-03
6.700116e+03 8.917944e-01 3.841309e-03
7.519867e+03 8.813466e-01 3.649985e-03
8.436568e+03 8.711149e-01 3.417669e-03
9.465563e+03 8.616105e-01 3.180937e-03
