#ell ratio std
1.018234e+02 9.986553e-01 1.144337e-02
1.440000e+02 9.977730e-01 1.639531e-02
1.609969e+02 9.970935e-01 1.069905e-02
2.187537e+02 9.951603e-01 1.167610e-02
2.843995e+02 9.932397e-01 1.230970e-02
3.593011e+02 9.910249e-01 1.319576e-02
4.461363e+02 9.890301e-01 1.408360e-02
5.627012e+02 9.858578e-01 1.423766e-02
7.130505e+02 9.813431e-01 1.514073e-02
8.923582e+02 9.750200e-01 1.540327e-02
1.056544e+03 9.686726e-01 1.714317e-02
1.192623e+03 9.632390e-01 1.744455e-02
1.335852e+03 9.571998e-01 1.760873e-02
1.497288e+03 9.503063e-01 1.776367e-02
1.681971e+03 9.425291e-01 1.731099e-02
1.888175e+03 9.328085e-01 1.697866e-02
2.119545e+03 9.223420e-01 1.675451e-02
2.377310e+03 9.111959e-01 1.634725e-02
2.668762e+03 8.984403e-01 1.549400e-02
2.993712e+03 8.856137e-01 1.510720e-02
3.359343e+03 8.726578e-01 1.424542e-02
3.770991e+03 8.597760e-01 1.348752e-02
4.229178e+03 8.479579e-01 1.299421e-02
4.744167e+03 8.372863e-01 1.283747e-02
5.324426e+03 8.279063e-01 1.210150e-02
5.972264e+03 8.201479e-01 1.140574e-02
6.700116e+03 8.150938e-01 1.115911e-02
7.519867e+03 8.110958e-01 1.070267e-02
8.436568e+03 8.089288e-01 9.881596e-03
9.465563e+03 8.091051e-01 9.772221e-03
