#ell ratio std
1.018234e+02 9.998127e-01 4.210988e-03
1.440000e+02 9.997210e-01 6.435591e-03
1.609969e+02 9.995891e-01 3.548409e-03
2.187537e+02 9.993660e-01 3.327443e-03
2.843995e+02 9.989811e-01 3.578411e-03
3.593011e+02 9.985502e-01 3.494224e-03
4.461363e+02 9.979000e-01 3.739636e-03
5.627012e+02 9.970351e-01 3.560453e-03
7.130505e+02 9.956689e-01 3.747218e-03
8.923582e+02 9.938926e-01 3.745914e-03
1.056544e+03 9.919141e-01 4.788515e-03
1.192623e+03 9.902518e-01 4.787816e-03
1.335852e+03 9.884243e-01 4.902109e-03
1.497288e+03 9.862518e-01 4.901982e-03
1.681971e+03 9.836589e-01 4.771304e-03
1.888175e+03 9.805717e-01 4.752212e-03
2.119545e+03 9.773004e-01 4.766099e-03
2.377310e+03 9.733085e-01 4.633038e-03
2.668762e+03 9.683017e-01 4.523492e-03
2.993712e+03 9.629796e-01 4.496501e-03
3.359343e+03 9.567717e-01 4.280405e-03
3.770991e+03 9.497431e-01 4.154201e-03
4.229178e+03 9.416316e-01 3.935056e-03
4.744167e+03 9.331696e-01 3.833815e-03
5.324426e+03 9.240655e-01 3.661761e-03
5.972264e+03 9.144498e-01 3.408721e-03
6.700116e+03 9.045638e-01 3.217969e-03
7.519867e+03 8.947004e-01 3.079263e-03
8.436568e+03 8.849488e-01 2.897648e-03
9.465563e+03 8.756758e-01 2.690462e-03
