#ell ratio std
1.018234e+02 9.997868e-01 5.195139e-03
1.440000e+02 9.995073e-01 8.069941e-03
1.609969e+02 9.992962e-01 4.799193e-03
2.187537e+02 9.988785e-01 4.501095e-03
2.843995e+02 9.982392e-01 4.961190e-03
3.593011e+02 9.975106e-01 4.933474e-03
4.461363e+02 9.966284e-01 5.437837e-03
5.627012e+02 9.952923e-01 5.180724e-03
7.130505e+02 9.933488e-01 5.434572e-03
8.923582e+02 9.908118e-01 5.423358e-03
1.056544e+03 9.881977e-01 6.616776e-03
1.192623e+03 9.859940e-01 6.615347e-03
1.335852e+03 9.835760e-01 6.720570e-03
1.497288e+03 9.807650e-01 6.790383e-03
1.681971e+03 9.775222e-01 6.575731e-03
1.888175e+03 9.734883e-01 6.537828e-03
2.119545e+03 9.690627e-01 6.587466e-03
2.377310e+03 9.637884e-01 6.420553e-03
2.668762e+03 9.570738e-01 6.268413e-03
2.993712e+03 9.500241e-01 6.234650e-03
3.359343e+03 9.418877e-01 5.987493e-03
3.770991e+03 9.328264e-01 5.749526e-03
4.229178e+03 9.226886e-01 5.474762e-03
4.744167e+03 9.122362e-01 5.309133e-03
5.324426e+03 9.011758e-01 5.137112e-03
5.972264e+03 8.899492e-01 4.754294e-03
6.700116e+03 8.790436e-01 4.570712e-03
7.519867e+03 8.683733e-01 4.335503e-03
8.436568e+03 8.581788e-01 4.027876e-03
9.465563e+03 8.490427e-01 3.765589e-03
