#ell ratio std
1.018234e+02 9.998560e-01 5.640467e-03
1.440000e+02 9.996875e-01 6.612048e-03
1.609969e+02 9.995482e-01 3.755532e-03
2.187537e+02 9.992912e-01 3.508550e-03
2.843995e+02 9.988677e-01 3.838495e-03
3.593011e+02 9.983845e-01 3.741814e-03
4.461363e+02 9.976867e-01 4.018806e-03
5.627012e+02 9.967386e-01 3.831300e-03
7.130505e+02 9.952598e-01 4.026879e-03
8.923582e+02 9.933533e-01 4.023666e-03
1.056544e+03 9.912492e-01 5.099621e-03
1.192623e+03 9.894866e-01 5.093570e-03
1.335852e+03 9.875629e-01 5.208095e-03
1.497288e+03 9.852762e-01 5.221357e-03
1.681971e+03 9.825649e-01 5.072491e-03
1.888175e+03 9.793172e-01 5.053846e-03
2.119545e+03 9.758568e-01 5.067451e-03
2.377310e+03 9.716505e-01 4.929908e-03
2.668762e+03 9.663550e-01 4.816320e-03
2.993712e+03 9.607355e-01 4.786879e-03
3.359343e+03 9.541950e-01 4.566438e-03
3.770991e+03 9.467999e-01 4.421606e-03
4.229178e+03 9.383110e-01 4.188081e-03
4.744167e+03 9.294707e-01 4.074430e-03
5.324426e+03 9.199717e-01 3.905647e-03
5.972264e+03 9.099928e-01 3.627992e-03
6.700116e+03 8.998134e-01 3.434966e-03
7.519867e+03 8.897042e-01 3.277973e-03
8.436568e+03 8.797216e-01 3.080268e-03
9.465563e+03 8.702953e-01 2.858969e-03
