#ell ratio std
1.018234e+02 9.998537e-01 5.639381e-03
1.440000e+02 9.996683e-01 6.790407e-03
1.609969e+02 9.995227e-01 3.879204e-03
2.187537e+02 9.992498e-01 3.616459e-03
2.843995e+02 9.988023e-01 3.975528e-03
3.593011e+02 9.982899e-01 3.880066e-03
4.461363e+02 9.975685e-01 4.177514e-03
5.627012e+02 9.965750e-01 3.982391e-03
7.130505e+02 9.950371e-01 4.182489e-03
8.923582e+02 9.930573e-01 4.179292e-03
1.056544e+03 9.908877e-01 5.271621e-03
1.192623e+03 9.890753e-01 5.262256e-03
1.335852e+03 9.870958e-01 5.377459e-03
1.497288e+03 9.847465e-01 5.398248e-03
1.681971e+03 9.819735e-01 5.240862e-03
1.888175e+03 9.786376e-01 5.220255e-03
2.119545e+03 9.750717e-01 5.234859e-03
2.377310e+03 9.707465e-01 5.095673e-03
2.668762e+03 9.652915e-01 4.978812e-03
2.993712e+03 9.595078e-01 4.948846e-03
3.359343e+03 9.527846e-01 4.726094e-03
3.770991e+03 9.451900e-01 4.570868e-03
4.229178e+03 9.364979e-01 4.330715e-03
4.744167e+03 9.274559e-01 4.209630e-03
5.324426e+03 9.177484e-01 4.042813e-03
5.972264e+03 9.075825e-01 3.751998e-03
6.700116e+03 8.972668e-01 3.558681e-03
7.519867e+03 8.870381e-01 3.390714e-03
8.436568e+03 8.769555e-01 3.183197e-03
9.465563e+03 8.674781e-01 2.956059e-03
