#ell ratio std
1.018234e+02 9.997976e-01 4.901583e-03
1.440000e+02 9.995750e-01 7.457531e-03
1.609969e+02 9.993858e-01 4.489219e-03
2.187537e+02 9.990305e-01 4.159079e-03
2.843995e+02 9.984690e-01 4.584312e-03
3.593011e+02 9.978204e-01 4.523411e-03
4.461363e+02 9.969982e-01 4.952162e-03
5.627012e+02 9.957864e-01 4.716859e-03
7.130505e+02 9.939955e-01 4.940001e-03
8.923582e+02 9.916664e-01 4.935540e-03
1.056544e+03 9.892115e-01 6.095612e-03
1.192623e+03 9.871655e-01 6.086454e-03
1.335852e+03 9.849152e-01 6.198730e-03
1.497288e+03 9.822778e-01 6.250608e-03
1.681971e+03 9.792180e-01 6.054231e-03
1.888175e+03 9.754623e-01 6.021498e-03
2.119545e+03 9.713674e-01 6.058749e-03
2.377310e+03 9.664689e-01 5.903848e-03
2.668762e+03 9.602426e-01 5.766740e-03
2.993712e+03 9.536801e-01 5.732955e-03
3.359343e+03 9.460847e-01 5.500106e-03
3.770991e+03 9.375701e-01 5.296582e-03
4.229178e+03 9.279639e-01 5.029490e-03
4.744167e+03 9.180194e-01 4.878699e-03
5.324426e+03 9.074149e-01 4.712063e-03
5.972264e+03 8.965219e-01 4.360545e-03
6.700116e+03 8.857500e-01 4.175915e-03
7.519867e+03 8.751425e-01 3.960700e-03
8.436568e+03 8.648566e-01 3.695734e-03
9.465563e+03 8.554587e-01 3.447046e-03
