#ell ratio std
1.018234e+02 9.953743e-01 1.993293e-02
1.440000e+02 9.927611e-01 2.881060e-02
1.609969e+02 9.912528e-01 2.003957e-02
2.187537e+02 9.866859e-01 2.130837e-02
2.843995e+02 9.823901e-01 2.339335e-02
3.593011e+02 9.779972e-01 2.611263e-02
4.461363e+02 9.739496e-01 2.851891e-02
5.627012e+02 9.673784e-01 2.879868e-02
7.130505e+02 9.578203e-01 3.131693e-02
8.923582e+02 9.445491e-01 3.177299e-02
1.056544e+03 9.315017e-01 3.412545e-02
1.192623e+03 9.214284e-01 3.498843e-02
1.335852e+03 9.104409e-01 3.489895e-02
1.497288e+03 8.986445e-01 3.468608e-02
1.681971e+03 8.866782e-01 3.427926e-02
1.888175e+03 8.743396e-01 3.406509e-02
2.119545e+03 8.619840e-01 3.339489e-02
2.377310e+03 8.501738e-01 3.268582e-02
2.668762e+03 8.393752e-01 3.096078e-02
2.993712e+03 8.298623e-01 3.059653e-02
3.359343e+03 8.218975e-01 2.949004e-02
3.770991e+03 8.153884e-01 2.681832e-02
4.229178e+03 8.106075e-01 2.581457e-02
4.744167e+03 8.078963e-01 2.643380e-02
5.324426e+03 8.064625e-01 2.453231e-02
5.972264e+03 8.067621e-01 2.343469e-02
6.700116e+03 8.090388e-01 2.259103e-02
7.519867e+03 8.125700e-01 2.229496e-02
8.436568e+03 8.183849e-01 2.117823e-02
9.465563e+03 8.274479e-01 2.081460e-02
