#ell ratio std
1.018234e+02 9.995875e-01 6.253819e-03
1.440000e+02 9.992193e-01 9.604711e-03
1.609969e+02 9.989969e-01 5.955238e-03
2.187537e+02 9.982895e-01 5.715455e-03
2.843995e+02 9.973914e-01 6.248157e-03
3.593011e+02 9.964120e-01 6.429329e-03
4.461363e+02 9.953195e-01 7.100622e-03
5.627012e+02 9.935557e-01 6.823302e-03
7.130505e+02 9.911352e-01 7.203736e-03
8.923582e+02 9.879399e-01 7.160260e-03
1.056544e+03 9.847491e-01 8.461857e-03
1.192623e+03 9.819963e-01 8.479121e-03
1.335852e+03 9.790176e-01 8.565074e-03
1.497288e+03 9.755899e-01 8.719627e-03
1.681971e+03 9.716111e-01 8.444166e-03
1.888175e+03 9.665405e-01 8.413509e-03
2.119545e+03 9.609761e-01 8.431167e-03
2.377310e+03 9.543777e-01 8.222961e-03
2.668762e+03 9.459885e-01 8.019067e-03
2.993712e+03 9.373259e-01 7.956368e-03
3.359343e+03 9.274543e-01 7.644279e-03
3.770991e+03 9.166591e-01 7.286191e-03
4.229178e+03 9.050284e-01 6.997118e-03
4.744167e+03 8.932928e-01 6.818235e-03
5.324426e+03 8.811904e-01 6.575184e-03
5.972264e+03 8.695196e-01 6.133111e-03
6.700116e+03 8.588313e-01 5.929314e-03
7.519867e+03 8.487649e-01 5.666891e-03
8.436568e+03 8.397184e-01 5.198562e-03
9.465563e+03 8.321246e-01 4.904688e-03
