#ell ratio std
1.018234e+02 9.973367e-01 1.525105e-02
1.440000e+02 9.958621e-01 2.307359e-02
1.609969e+02 9.948713e-01 1.498668e-02
2.187537e+02 9.917306e-01 1.648343e-02
2.843995e+02 9.888609e-01 1.731433e-02
3.593011e+02 9.856479e-01 1.887663e-02
4.461363e+02 9.828300e-01 2.039344e-02
5.627012e+02 9.782596e-01 2.075477e-02
7.130505e+02 9.716509e-01 2.244286e-02
8.923582e+02 9.621125e-01 2.285630e-02
1.056544e+03 9.525939e-01 2.505575e-02
1.192623e+03 9.449200e-01 2.566439e-02
1.335852e+03 9.362890e-01 2.577662e-02
1.497288e+03 9.264760e-01 2.563714e-02
1.681971e+03 9.159924e-01 2.523771e-02
1.888175e+03 9.040414e-01 2.506190e-02
2.119545e+03 8.917888e-01 2.462221e-02
2.377310e+03 8.793399e-01 2.383347e-02
2.668762e+03 8.663507e-01 2.240271e-02
2.993712e+03 8.539125e-01 2.208531e-02
3.359343e+03 8.425571e-01 2.118620e-02
3.770991e+03 8.321288e-01 1.947098e-02
4.229178e+03 8.233804e-01 1.864714e-02
4.744167e+03 8.163210e-01 1.881902e-02
5.324426e+03 8.109668e-01 1.739601e-02
5.972264e+03 8.073019e-01 1.656240e-02
6.700116e+03 8.061072e-01 1.597708e-02
7.519867e+03 8.057025e-01 1.548685e-02
8.436568e+03 8.077026e-01 1.448841e-02
9.465563e+03 8.124413e-01 1.446226e-02
