#ell ratio std
1.018234e+02 9.994347e-01 7.398483e-03
1.440000e+02 9.988848e-01 1.085977e-02
1.609969e+02 9.986879e-01 6.877867e-03
2.187537e+02 9.977094e-01 6.827254e-03
2.843995e+02 9.965840e-01 7.575580e-03
3.593011e+02 9.953517e-01 7.817006e-03
4.461363e+02 9.940953e-01 8.601842e-03
5.627012e+02 9.919818e-01 8.380806e-03
7.130505e+02 9.891375e-01 8.824125e-03
8.923582e+02 9.853543e-01 8.825716e-03
1.056544e+03 9.816043e-01 1.020131e-02
1.192623e+03 9.783551e-01 1.023196e-02
1.335852e+03 9.748081e-01 1.033881e-02
1.497288e+03 9.707283e-01 1.055236e-02
1.681971e+03 9.659929e-01 1.022871e-02
1.888175e+03 9.599421e-01 1.016594e-02
2.119545e+03 9.533147e-01 1.010131e-02
2.377310e+03 9.455275e-01 9.863511e-03
2.668762e+03 9.357731e-01 9.598254e-03
2.993712e+03 9.258252e-01 9.477586e-03
3.359343e+03 9.147048e-01 9.065616e-03
3.770991e+03 9.027337e-01 8.578606e-03
4.229178e+03 8.903311e-01 8.296107e-03
4.744167e+03 8.779919e-01 8.133904e-03
5.324426e+03 8.657628e-01 7.804809e-03
5.972264e+03 8.544657e-01 7.341471e-03
6.700116e+03 8.446236e-01 7.130893e-03
7.519867e+03 8.357830e-01 6.837565e-03
8.436568e+03 8.282380e-01 6.242885e-03
9.465563e+03 8.223951e-01 5.939568e-03
