#ell ratio std
1.018234e+02 9.997773e-01 5.436622e-03
1.440000e+02 9.994596e-01 8.503755e-03
1.609969e+02 9.992463e-01 4.981243e-03
2.187537e+02 9.987876e-01 4.698849e-03
2.843995e+02 9.981039e-01 5.169771e-03
3.593011e+02 9.973322e-01 5.172571e-03
4.461363e+02 9.964150e-01 5.716368e-03
5.627012e+02 9.950084e-01 5.446331e-03
7.130505e+02 9.929827e-01 5.720517e-03
8.923582e+02 9.903331e-01 5.701739e-03
1.056544e+03 9.876302e-01 6.911108e-03
1.192623e+03 9.853359e-01 6.917635e-03
1.335852e+03 9.828241e-01 7.019479e-03
1.497288e+03 9.799157e-01 7.099524e-03
1.681971e+03 9.765640e-01 6.876525e-03
1.888175e+03 9.723637e-01 6.836747e-03
2.119545e+03 9.677533e-01 6.888186e-03
2.377310e+03 9.622641e-01 6.716168e-03
2.668762e+03 9.552705e-01 6.553949e-03
2.993712e+03 9.479460e-01 6.519194e-03
3.359343e+03 9.395088e-01 6.264262e-03
3.770991e+03 9.301449e-01 6.006463e-03
4.229178e+03 9.197200e-01 5.726575e-03
4.744167e+03 9.090108e-01 5.556788e-03
5.324426e+03 8.977224e-01 5.377535e-03
5.972264e+03 8.863455e-01 4.980134e-03
6.700116e+03 8.754123e-01 4.794579e-03
7.519867e+03 8.647611e-01 4.551628e-03
8.436568e+03 8.546824e-01 4.218987e-03
9.465563e+03 8.457433e-01 3.949584e-03
