#ell ratio std
1.018234e+02 9.998356e-01 4.989031e-03
1.440000e+02 9.996478e-01 6.959443e-03
1.609969e+02 9.994932e-01 4.015024e-03
2.187537e+02 9.992042e-01 3.731317e-03
2.843995e+02 9.987314e-01 4.112958e-03
3.593011e+02 9.981870e-01 4.024635e-03
4.461363e+02 9.974416e-01 4.351179e-03
5.627012e+02 9.963992e-01 4.145006e-03
7.130505e+02 9.948015e-01 4.350699e-03
8.923582e+02 9.927427e-01 4.347532e-03
1.056544e+03 9.905047e-01 5.455629e-03
1.192623e+03 9.886423e-01 5.443653e-03
1.335852e+03 9.866004e-01 5.560237e-03
1.497288e+03 9.841861e-01 5.588116e-03
1.681971e+03 9.813477e-01 5.422184e-03
1.888175e+03 9.779176e-01 5.398677e-03
2.119545e+03 9.742366e-01 5.416065e-03
2.377310e+03 9.697851e-01 5.274768e-03
2.668762e+03 9.641578e-01 5.154160e-03
2.993712e+03 9.581988e-01 5.123277e-03
3.359343e+03 9.512807e-01 4.898249e-03
3.770991e+03 9.434747e-01 4.732453e-03
4.229178e+03 9.345699e-01 4.485014e-03
4.744167e+03 9.253176e-01 4.356878e-03
5.324426e+03 9.153929e-01 4.191148e-03
5.972264e+03 9.050399e-01 3.886381e-03
6.700116e+03 8.945960e-01 3.693881e-03
7.519867e+03 8.842530e-01 3.514334e-03
8.436568e+03 8.740860e-01 3.295277e-03
9.465563e+03 8.645809e-01 3.063318e-03
