#ell ratio std
1.018234e+02 9.996419e-01 6.011339e-03
1.440000e+02 9.992697e-01 9.346421e-03
1.609969e+02 9.990703e-01 5.707729e-03
2.187537e+02 9.984369e-01 5.419017e-03
2.843995e+02 9.976025e-01 5.922987e-03
3.593011e+02 9.966821e-01 6.062037e-03
4.461363e+02 9.956377e-01 6.702474e-03
5.627012e+02 9.939756e-01 6.420488e-03
7.130505e+02 9.916670e-01 6.772704e-03
8.923582e+02 9.886267e-01 6.732193e-03
1.056544e+03 9.855820e-01 8.007424e-03
1.192623e+03 9.829608e-01 8.024364e-03
1.335852e+03 9.801182e-01 8.110864e-03
1.497288e+03 9.768471e-01 8.245515e-03
1.681971e+03 9.730616e-01 7.984550e-03
1.888175e+03 9.682426e-01 7.950346e-03
2.119545e+03 9.629574e-01 7.984122e-03
2.377310e+03 9.566800e-01 7.788215e-03
2.668762e+03 9.486840e-01 7.594274e-03
2.993712e+03 9.404001e-01 7.543770e-03
3.359343e+03 9.309190e-01 7.251683e-03
3.770991e+03 9.205116e-01 6.923688e-03
4.229178e+03 9.091764e-01 6.634933e-03
4.744167e+03 8.976927e-01 6.457163e-03
5.324426e+03 8.857623e-01 6.233888e-03
5.972264e+03 8.741006e-01 5.803051e-03
6.700116e+03 8.632814e-01 5.602791e-03
7.519867e+03 8.529790e-01 5.343742e-03
8.436568e+03 8.435791e-01 4.914928e-03
9.465563e+03 8.355545e-01 4.629031e-03
