#ell ratio std
1.018234e+02 9.965546e-01 1.735677e-02
1.440000e+02 9.946582e-01 2.470290e-02
1.609969e+02 9.934584e-01 1.723134e-02
2.187537e+02 9.896983e-01 1.857286e-02
2.843995e+02 9.862497e-01 1.995109e-02
3.593011e+02 9.825156e-01 2.193586e-02
4.461363e+02 9.792240e-01 2.381777e-02
5.627012e+02 9.738358e-01 2.417370e-02
7.130505e+02 9.659885e-01 2.628133e-02
8.923582e+02 9.548325e-01 2.668570e-02
1.056544e+03 9.437295e-01 2.904655e-02
1.192623e+03 9.349670e-01 2.978757e-02
1.335852e+03 9.251818e-01 2.975894e-02
1.497288e+03 9.142749e-01 2.958299e-02
1.681971e+03 9.029564e-01 2.924223e-02
1.888175e+03 8.906679e-01 2.911473e-02
2.119545e+03 8.781209e-01 2.847296e-02
2.377310e+03 8.657859e-01 2.767588e-02
2.668762e+03 8.534876e-01 2.614044e-02
2.993712e+03 8.421811e-01 2.584005e-02
3.359343e+03 8.322326e-01 2.485619e-02
3.770991e+03 8.234677e-01 2.266274e-02
4.229178e+03 8.164149e-01 2.173213e-02
4.744167e+03 8.113193e-01 2.213595e-02
5.324426e+03 8.077564e-01 2.048449e-02
5.972264e+03 8.059016e-01 1.948489e-02
6.700116e+03 8.062535e-01 1.872189e-02
7.519867e+03 8.075440e-01 1.828360e-02
8.436568e+03 8.112133e-01 1.723330e-02
9.465563e+03 8.179225e-01 1.712675e-02
