#ell ratio std
1.018234e+02 9.998126e-01 4.091234e-03
1.440000e+02 9.997428e-01 6.428763e-03
1.609969e+02 9.996054e-01 3.464393e-03
2.187537e+02 9.994006e-01 3.246975e-03
2.843995e+02 9.990323e-01 3.460231e-03
3.593011e+02 9.986229e-01 3.384665e-03
4.461363e+02 9.979969e-01 3.617179e-03
5.627012e+02 9.971696e-01 3.439198e-03
7.130505e+02 9.958570e-01 3.621546e-03
8.923582e+02 9.941379e-01 3.622047e-03
1.056544e+03 9.922202e-01 4.646911e-03
1.192623e+03 9.906063e-01 4.650885e-03
1.335852e+03 9.888234e-01 4.762383e-03
1.497288e+03 9.867013e-01 4.757394e-03
1.681971e+03 9.841671e-01 4.635391e-03
1.888175e+03 9.811531e-01 4.615502e-03
2.119545e+03 9.779669e-01 4.628913e-03
2.377310e+03 9.740727e-01 4.499700e-03
2.668762e+03 9.691962e-01 4.391386e-03
2.993712e+03 9.640088e-01 4.365364e-03
3.359343e+03 9.579540e-01 4.151818e-03
3.770991e+03 9.510928e-01 4.034342e-03
4.229178e+03 9.431558e-01 3.822075e-03
4.744167e+03 9.348704e-01 3.726014e-03
5.324426e+03 9.259530e-01 3.552557e-03
5.972264e+03 9.165117e-01 3.311311e-03
6.700116e+03 9.067787e-01 3.123707e-03
7.519867e+03 8.970391e-01 2.992011e-03
8.436568e+03 8.874118e-01 2.817329e-03
9.465563e+03 8.782358e-01 2.617327e-03
