#ell ratio std
1.018234e+02 9.982912e-01 1.308162e-02
1.440000e+02 9.974276e-01 1.980862e-02
1.609969e+02 9.965723e-01 1.197918e-02
2.187537e+02 9.943181e-01 1.310399e-02
2.843995e+02 9.921462e-01 1.360103e-02
3.593011e+02 9.896645e-01 1.467912e-02
4.461363e+02 9.874583e-01 1.568907e-02
5.627012e+02 9.839419e-01 1.595923e-02
7.130505e+02 9.789206e-01 1.704754e-02
8.923582e+02 9.717393e-01 1.736749e-02
1.056544e+03 9.645497e-01 1.923631e-02
1.192623e+03 9.584860e-01 1.963953e-02
1.335852e+03 9.517497e-01 1.980264e-02
1.497288e+03 9.440244e-01 1.987040e-02
1.681971e+03 9.353986e-01 1.941483e-02
1.888175e+03 9.248487e-01 1.908544e-02
2.119545e+03 9.136667e-01 1.888218e-02
2.377310e+03 9.019807e-01 1.831781e-02
2.668762e+03 8.889007e-01 1.728147e-02
2.993712e+03 8.758649e-01 1.688997e-02
3.359343e+03 8.630809e-01 1.599500e-02
3.770991e+03 8.506456e-01 1.504070e-02
4.229178e+03 8.395415e-01 1.445748e-02
4.744167e+03 8.298063e-01 1.431736e-02
5.324426e+03 8.215300e-01 1.338044e-02
5.972264e+03 8.148855e-01 1.265815e-02
6.700116e+03 8.109927e-01 1.230391e-02
7.519867e+03 8.080634e-01 1.183248e-02
8.436568e+03 8.071709e-01 1.096192e-02
9.465563e+03 8.087653e-01 1.088711e-02
