#ell ratio std
1.018234e+02 9.998192e-01 3.845135e-03
1.440000e+02 9.997910e-01 6.500830e-03
1.609969e+02 9.996440e-01 3.274928e-03
2.187537e+02 9.994889e-01 3.014662e-03
2.843995e+02 9.991700e-01 3.159112e-03
3.593011e+02 9.988055e-01 3.103786e-03
4.461363e+02 9.982607e-01 3.303374e-03
5.627012e+02 9.975259e-01 3.120562e-03
7.130505e+02 9.963607e-01 3.289181e-03
8.923582e+02 9.947937e-01 3.292711e-03
1.056544e+03 9.930517e-01 4.272854e-03
1.192623e+03 9.915689e-01 4.283498e-03
1.335852e+03 9.899173e-01 4.386488e-03
1.497288e+03 9.879258e-01 4.375930e-03
1.681971e+03 9.855579e-01 4.274332e-03
1.888175e+03 9.827428e-01 4.254396e-03
2.119545e+03 9.797814e-01 4.263334e-03
2.377310e+03 9.761506e-01 4.148471e-03
2.668762e+03 9.716244e-01 4.042983e-03
2.993712e+03 9.667918e-01 4.022094e-03
3.359343e+03 9.611463e-01 3.815967e-03
3.770991e+03 9.547333e-01 3.722670e-03
4.229178e+03 9.472749e-01 3.527263e-03
4.744167e+03 9.394773e-01 3.445567e-03
5.324426e+03 9.310693e-01 3.268784e-03
5.972264e+03 9.221233e-01 3.060195e-03
6.700116e+03 9.128520e-01 2.886595e-03
7.519867e+03 9.034906e-01 2.768785e-03
8.436568e+03 8.942429e-01 2.613394e-03
9.465563e+03 8.854065e-01 2.432572e-03
