#ell ratio std
1.018234e+02 9.978493e-01 1.410828e-02
1.440000e+02 9.967283e-01 2.167565e-02
1.609969e+02 9.958695e-01 1.336054e-02
2.187537e+02 9.932083e-01 1.467033e-02
2.843995e+02 9.907335e-01 1.522046e-02
3.593011e+02 9.879278e-01 1.651247e-02
4.461363e+02 9.854579e-01 1.774642e-02
5.627012e+02 9.814907e-01 1.808533e-02
7.130505e+02 9.757989e-01 1.942623e-02
8.923582e+02 9.675574e-01 1.980771e-02
1.056544e+03 9.593189e-01 2.182637e-02
1.192623e+03 9.525316e-01 2.232794e-02
1.335852e+03 9.449368e-01 2.249639e-02
1.497288e+03 9.362243e-01 2.244956e-02
1.681971e+03 9.266663e-01 2.200035e-02
1.888175e+03 9.153460e-01 2.172822e-02
2.119545e+03 9.035545e-01 2.148111e-02
2.377310e+03 8.913999e-01 2.076368e-02
2.668762e+03 8.781910e-01 1.951861e-02
2.993712e+03 8.652471e-01 1.915531e-02
3.359343e+03 8.529708e-01 1.825993e-02
3.770991e+03 8.413270e-01 1.699460e-02
4.229178e+03 8.312286e-01 1.629136e-02
4.744167e+03 8.226736e-01 1.625931e-02
5.324426e+03 8.157146e-01 1.508306e-02
5.972264e+03 8.104159e-01 1.434467e-02
6.700116e+03 8.077828e-01 1.387768e-02
7.519867e+03 8.060475e-01 1.338517e-02
8.436568e+03 8.065433e-01 1.245593e-02
9.465563e+03 8.096301e-01 1.240293e-02
