#ell ratio std
1.018234e+02 9.995323e-01 6.381969e-03
1.440000e+02 9.991217e-01 1.005704e-02
1.609969e+02 9.989138e-01 6.211428e-03
2.187537e+02 9.981223e-01 6.049481e-03
2.843995e+02 9.971556e-01 6.626598e-03
3.593011e+02 9.961055e-01 6.834719e-03
4.461363e+02 9.949638e-01 7.544625e-03
5.627012e+02 9.930911e-01 7.276630e-03
7.130505e+02 9.905451e-01 7.682827e-03
8.923582e+02 9.871765e-01 7.644927e-03
1.056544e+03 9.838238e-01 8.971448e-03
1.192623e+03 9.809240e-01 8.989953e-03
1.335852e+03 9.777866e-01 9.079409e-03
1.497288e+03 9.741761e-01 9.252973e-03
1.681971e+03 9.699766e-01 8.963669e-03
1.888175e+03 9.646231e-01 8.930876e-03
2.119545e+03 9.587463e-01 8.927912e-03
2.377310e+03 9.517933e-01 8.706406e-03
2.668762e+03 9.429803e-01 8.490495e-03
2.993712e+03 9.339109e-01 8.412673e-03
3.359343e+03 9.236344e-01 8.073945e-03
3.770991e+03 9.124451e-01 7.679250e-03
4.229178e+03 9.005326e-01 7.390668e-03
4.744167e+03 8.885632e-01 7.213962e-03
5.324426e+03 8.763431e-01 6.947585e-03
5.972264e+03 8.647279e-01 6.496210e-03
6.700116e+03 8.542372e-01 6.290076e-03
7.519867e+03 8.444834e-01 6.020118e-03
8.436568e+03 8.358620e-01 5.512106e-03
9.465563e+03 8.287755e-01 5.210167e-03
