#ell ratio std
1.018234e+02 9.991949e-01 8.801301e-03
1.440000e+02 9.984701e-01 1.258431e-02
1.609969e+02 9.981319e-01 8.290418e-03
2.187537e+02 9.967669e-01 8.527670e-03
2.843995e+02 9.953525e-01 9.512609e-03
3.593011e+02 9.937380e-01 9.872796e-03
4.461363e+02 9.921932e-01 1.078000e-02
5.627012e+02 9.896652e-01 1.064891e-02
7.130505e+02 9.862099e-01 1.123537e-02
8.923582e+02 9.814959e-01 1.134321e-02
1.056544e+03 9.768379e-01 1.282399e-02
1.192623e+03 9.727885e-01 1.293389e-02
1.335852e+03 9.682902e-01 1.306648e-02
1.497288e+03 9.631502e-01 1.332772e-02
1.681971e+03 9.572414e-01 1.293866e-02
1.888175e+03 9.497240e-01 1.273374e-02
2.119545e+03 9.414744e-01 1.255822e-02
2.377310e+03 9.320801e-01 1.230875e-02
2.668762e+03 9.207640e-01 1.185850e-02
2.993712e+03 9.093470e-01 1.158781e-02
3.359343e+03 8.970062e-01 1.099807e-02
3.770991e+03 8.840836e-01 1.038553e-02
4.229178e+03 8.713431e-01 1.008513e-02
4.744167e+03 8.591204e-01 9.946473e-03
5.324426e+03 8.476155e-01 9.501501e-03
5.972264e+03 8.374418e-01 8.986707e-03
6.700116e+03 8.294574e-01 8.801493e-03
7.519867e+03 8.227169e-01 8.451074e-03
8.436568e+03 8.173873e-01 7.711623e-03
9.465563e+03 8.141006e-01 7.486186e-03
