#ell ratio std
1.018234e+02 9.998223e-01 3.788267e-03
1.440000e+02 9.997941e-01 6.095422e-03
1.609969e+02 9.996546e-01 3.228032e-03
2.187537e+02 9.995136e-01 2.934684e-03
2.843995e+02 9.992105e-01 3.069226e-03
3.593011e+02 9.988572e-01 3.023521e-03
4.461363e+02 9.983399e-01 3.211230e-03
5.627012e+02 9.976311e-01 3.027655e-03
7.130505e+02 9.965095e-01 3.191556e-03
8.923582e+02 9.949892e-01 3.194044e-03
1.056544e+03 9.933031e-01 4.160692e-03
1.192623e+03 9.918589e-01 4.173572e-03
1.335852e+03 9.902515e-01 4.274230e-03
1.497288e+03 9.883005e-01 4.264848e-03
1.681971e+03 9.859819e-01 4.167156e-03
1.888175e+03 9.832288e-01 4.148326e-03
2.119545e+03 9.803343e-01 4.155331e-03
2.377310e+03 9.767823e-01 4.044648e-03
2.668762e+03 9.723606e-01 3.940850e-03
2.993712e+03 9.676351e-01 3.921860e-03
3.359343e+03 9.621095e-01 3.719084e-03
3.770991e+03 9.558301e-01 3.632336e-03
4.229178e+03 9.485189e-01 3.441033e-03
4.744167e+03 9.408706e-01 3.364304e-03
5.324426e+03 9.326179e-01 3.187743e-03
5.972264e+03 9.238265e-01 2.988538e-03
6.700116e+03 9.147067e-01 2.818723e-03
7.519867e+03 9.054738e-01 2.705437e-03
8.436568e+03 8.963513e-01 2.555456e-03
9.465563e+03 8.876371e-01 2.380709e-03
