#ell ratio std
1.018234e+02 9.997454e-01 5.601094e-03
1.440000e+02 9.994047e-01 8.800489e-03
1.609969e+02 9.991931e-01 5.192445e-03
2.187537e+02 9.986847e-01 4.919635e-03
2.843995e+02 9.979549e-01 5.395436e-03
3.593011e+02 9.971369e-01 5.439426e-03
4.461363e+02 9.961817e-01 6.021692e-03
5.627012e+02 9.946971e-01 5.739204e-03
7.130505e+02 9.925832e-01 6.036850e-03
8.923582e+02 9.898142e-01 6.008880e-03
1.056544e+03 9.870124e-01 7.237604e-03
1.192623e+03 9.846176e-01 7.249937e-03
1.335852e+03 9.820058e-01 7.346723e-03
1.497288e+03 9.789893e-01 7.442123e-03
1.681971e+03 9.755144e-01 7.209420e-03
1.888175e+03 9.711280e-01 7.168147e-03
2.119545e+03 9.663156e-01 7.217395e-03
2.377310e+03 9.605892e-01 7.040567e-03
2.668762e+03 9.532904e-01 6.866097e-03
2.993712e+03 9.456728e-01 6.829833e-03
3.359343e+03 9.369097e-01 6.565379e-03
3.770991e+03 9.272221e-01 6.286129e-03
4.229178e+03 9.164967e-01 6.001444e-03
4.744167e+03 9.055292e-01 5.829311e-03
5.324426e+03 8.940172e-01 5.637766e-03
5.972264e+03 8.825133e-01 5.227544e-03
6.700116e+03 8.715805e-01 5.038954e-03
7.519867e+03 8.609926e-01 4.789477e-03
8.436568e+03 8.510821e-01 4.428445e-03
9.465563e+03 8.423910e-01 4.153458e-03
