#ell ratio std
1.018234e+02 9.992637e-01 8.157104e-03
1.440000e+02 9.986296e-01 1.179954e-02
1.609969e+02 9.983497e-01 7.764929e-03
2.187537e+02 9.971374e-01 7.839300e-03
2.843995e+02 9.958340e-01 8.804057e-03
3.593011e+02 9.943598e-01 9.084549e-03
4.461363e+02 9.929272e-01 9.957879e-03
5.627012e+02 9.905473e-01 9.787236e-03
7.130505e+02 9.873297e-01 1.031288e-02
8.923582e+02 9.829796e-01 1.038047e-02
1.056544e+03 9.786824e-01 1.181283e-02
1.192623e+03 9.749498e-01 1.189373e-02
1.335852e+03 9.708221e-01 1.201373e-02
1.497288e+03 9.661052e-01 1.226040e-02
1.681971e+03 9.606373e-01 1.190254e-02
1.888175e+03 9.536865e-01 1.175263e-02
2.119545e+03 9.460571e-01 1.161231e-02
2.377310e+03 9.372423e-01 1.137056e-02
2.668762e+03 9.264557e-01 1.100130e-02
2.993712e+03 9.155434e-01 1.078384e-02
3.359343e+03 9.035817e-01 1.027351e-02
3.770991e+03 8.909249e-01 9.694145e-03
4.229178e+03 8.782084e-01 9.409121e-03
4.744167e+03 8.657983e-01 9.269244e-03
5.324426e+03 8.539487e-01 8.858527e-03
5.972264e+03 8.432889e-01 8.376489e-03
6.700116e+03 8.345518e-01 8.173481e-03
7.519867e+03 8.270231e-01 7.850222e-03
8.436568e+03 8.208616e-01 7.155139e-03
9.465563e+03 8.166248e-01 6.895750e-03
