#ell ratio std
1.018234e+02 9.933988e-01 2.294565e-02
1.440000e+02 9.901478e-01 3.320316e-02
1.609969e+02 9.877190e-01 2.383301e-02
2.187537e+02 9.819823e-01 2.525661e-02
2.843995e+02 9.764282e-01 2.833744e-02
3.593011e+02 9.709972e-01 3.203307e-02
4.461363e+02 9.657331e-01 3.518059e-02
5.627012e+02 9.574498e-01 3.522421e-02
7.130505e+02 9.455551e-01 3.825291e-02
8.923582e+02 9.295971e-01 3.868402e-02
1.056544e+03 9.143867e-01 4.078296e-02
1.192623e+03 9.029508e-01 4.168047e-02
1.335852e+03 8.911780e-01 4.175031e-02
1.497288e+03 8.791527e-01 4.128943e-02
1.681971e+03 8.671411e-01 4.063719e-02
1.888175e+03 8.550631e-01 4.017855e-02
2.119545e+03 8.438017e-01 3.968223e-02
2.377310e+03 8.335469e-01 3.918989e-02
2.668762e+03 8.250211e-01 3.703399e-02
2.993712e+03 8.178559e-01 3.646104e-02
3.359343e+03 8.126139e-01 3.529123e-02
3.770991e+03 8.090044e-01 3.205397e-02
4.229178e+03 8.071022e-01 3.105753e-02
4.744167e+03 8.070209e-01 3.164099e-02
5.324426e+03 8.079974e-01 2.963498e-02
5.972264e+03 8.110639e-01 2.854960e-02
6.700116e+03 8.158796e-01 2.789120e-02
7.519867e+03 8.218452e-01 2.792033e-02
8.436568e+03 8.303678e-01 2.670116e-02
9.465563e+03 8.416381e-01 2.613939e-02
