#ell ratio std
1.018234e+02 9.994718e-01 6.729717e-03
1.440000e+02 9.990161e-01 1.047597e-02
1.609969e+02 9.988132e-01 6.508780e-03
2.187537e+02 9.979311e-01 6.420473e-03
2.843995e+02 9.968889e-01 7.064874e-03
3.593011e+02 9.957543e-01 7.289408e-03
4.461363e+02 9.945598e-01 8.040037e-03
5.627012e+02 9.925702e-01 7.793968e-03
7.130505e+02 9.898833e-01 8.217658e-03
8.923582e+02 9.863207e-01 8.196362e-03
1.056544e+03 9.827851e-01 9.547238e-03
1.192623e+03 9.797216e-01 9.567742e-03
1.335852e+03 9.763962e-01 9.666003e-03
1.497288e+03 9.725698e-01 9.858819e-03
1.681971e+03 9.681210e-01 9.554450e-03
1.888175e+03 9.624415e-01 9.512161e-03
2.119545e+03 9.562136e-01 9.481716e-03
2.377310e+03 9.488668e-01 9.249162e-03
2.668762e+03 9.395976e-01 9.014520e-03
2.993712e+03 9.300989e-01 8.918583e-03
3.359343e+03 9.194049e-01 8.545819e-03
3.770991e+03 9.078189e-01 8.107758e-03
4.229178e+03 8.956462e-01 7.821097e-03
4.744167e+03 8.834718e-01 7.650732e-03
5.324426e+03 8.712028e-01 7.356841e-03
5.972264e+03 8.597129e-01 6.897821e-03
6.700116e+03 8.494988e-01 6.689527e-03
7.519867e+03 8.401496e-01 6.409124e-03
8.436568e+03 8.320308e-01 5.859076e-03
9.465563e+03 8.255275e-01 5.552119e-03
