#ell ratio std
1.018234e+02 9.996967e-01 5.802244e-03
1.440000e+02 9.993335e-01 9.003974e-03
1.609969e+02 9.991351e-01 5.443541e-03
2.187537e+02 9.985680e-01 5.156991e-03
2.843995e+02 9.977890e-01 5.644039e-03
3.593011e+02 9.969218e-01 5.732997e-03
4.461363e+02 9.959245e-01 6.347883e-03
5.627012e+02 9.943541e-01 6.061551e-03
7.130505e+02 9.921468e-01 6.386301e-03
8.923582e+02 9.892480e-01 6.350801e-03
1.056544e+03 9.863331e-01 7.601221e-03
1.192623e+03 9.838291e-01 7.617157e-03
1.335852e+03 9.811081e-01 7.707947e-03
1.497288e+03 9.779722e-01 7.822670e-03
1.681971e+03 9.743540e-01 7.576923e-03
1.888175e+03 9.697621e-01 7.537130e-03
2.119545e+03 9.647255e-01 7.581298e-03
2.377310e+03 9.587375e-01 7.396565e-03
2.668762e+03 9.511046e-01 7.211218e-03
2.993712e+03 9.431683e-01 7.170328e-03
3.359343e+03 9.340567e-01 6.893847e-03
3.770991e+03 9.240213e-01 6.590707e-03
4.229178e+03 9.129884e-01 6.303491e-03
4.744167e+03 9.017623e-01 6.128733e-03
5.324426e+03 8.900335e-01 5.921793e-03
5.972264e+03 8.784311e-01 5.501622e-03
6.700116e+03 8.675339e-01 5.307434e-03
7.519867e+03 8.570604e-01 5.051938e-03
8.436568e+03 8.473744e-01 4.659231e-03
9.465563e+03 8.389868e-01 4.379699e-03
