#ell ratio std
1.018234e+02 9.998107e-01 4.836054e-03
1.440000e+02 9.996043e-01 7.232704e-03
1.609969e+02 9.994251e-01 4.324325e-03
2.187537e+02 9.990952e-01 4.002114e-03
2.843995e+02 9.985663e-01 4.413920e-03
3.593011e+02 9.979543e-01 4.343422e-03
4.461363e+02 9.971586e-01 4.737077e-03
5.627012e+02 9.960049e-01 4.512336e-03
7.130505e+02 9.942835e-01 4.726647e-03
8.923582e+02 9.920498e-01 4.723043e-03
1.056544e+03 9.896694e-01 5.864791e-03
1.192623e+03 9.876914e-01 5.853743e-03
1.335852e+03 9.855148e-01 5.969979e-03
1.497288e+03 9.829563e-01 6.012928e-03
1.681971e+03 9.799748e-01 5.826200e-03
1.888175e+03 9.763376e-01 5.797202e-03
2.119545e+03 9.723917e-01 5.826031e-03
2.377310e+03 9.676565e-01 5.676952e-03
2.668762e+03 9.616449e-01 5.546673e-03
2.993712e+03 9.552982e-01 5.513444e-03
3.359343e+03 9.479453e-01 5.284184e-03
3.770991e+03 9.396813e-01 5.094218e-03
4.229178e+03 9.303196e-01 4.833288e-03
4.744167e+03 9.206169e-01 4.690428e-03
5.324426e+03 9.102412e-01 4.524110e-03
5.972264e+03 8.995232e-01 4.189556e-03
6.700116e+03 8.888488e-01 4.001559e-03
7.519867e+03 8.783114e-01 3.798486e-03
8.436568e+03 8.680380e-01 3.550838e-03
9.465563e+03 8.585680e-01 3.308543e-03
